"PartitionKey","RowKey","ConfigGroup","Key","Value"
MatterCenterConfig,RowKey001,CreateMatter,Tab1HeaderTitle,Step 1: Select a client and provide basic information for your new matter.
MatterCenterConfig,RowKey002,CreateMatter,Tab2HeaderTitle,Step 2: Confirm that a conflict check was conducted and specify who should be conflicted from or given access to this matter.
MatterCenterConfig,RowKey003,CreateMatter,Tab3HeaderTitle,"Step 3: When you've entered all relevant information for your new matter, create the matter and notify your team."
MatterCenterConfig,RowKey004,CreateMatter,ButtonNextText,Next
MatterCenterConfig,RowKey005,CreateMatter,ButtonPreviousText,Previous
MatterCenterConfig,RowKey006,CreateMatter,ButtonCreateText,Create
MatterCenterConfig,RowKey007,CreateMatter,Tab2NoSearchResultText,No Results Found
MatterCenterConfig,RowKey008,CreateMatter,Tab1Type1Header1Label1,Select a Practice Group
MatterCenterConfig,RowKey009,CreateMatter,Tab1Type1Footer1Label1,Please select primary matter type before you save.
MatterCenterConfig,RowKey010,CreateMatter,Tab1SiteColumn1Caption,Area of Law
MatterCenterConfig,RowKey011,CreateMatter,Tab1SiteColumn2Caption,Sub Area of Law (select matter type)
MatterCenterConfig,RowKey012,CreateMatter,Tab1SiteColumn3Caption,Matter Type
MatterCenterConfig,RowKey013,CreateMatter,Tab1Type1Label1,select primary matter type
MatterCenterConfig,RowKey014,CreateMatter,Tab1ButtonAddTitle,Add
MatterCenterConfig,RowKey015,CreateMatter,Tab1ButtonRemoveTitle,Remove
MatterCenterConfig,RowKey016,CreateMatter,MenuImageTitle,Matter Center menu
MatterCenterConfig,RowKey017,CreateMatter,MenuImageCaption,menu
MatterCenterConfig,RowKey018,CreateMatter,Tab1ButtonCloseTitle,Close
MatterCenterConfig,RowKey019,CreateMatter,Tab1ButtonSelectType,Select Type
MatterCenterConfig,RowKey020,CreateMatter,Tab1ImageLoadingAltText,Loading...
MatterCenterConfig,RowKey021,CreateMatter,MenuItem1LinkTitle,Home
MatterCenterConfig,RowKey022,CreateMatter,MenuItem2LinkTitle,Search matters
MatterCenterConfig,RowKey023,CreateMatter,MenuItem3LinkTitle,Search documents
MatterCenterConfig,RowKey024,CreateMatter,MenuItem1LinkText,Home
MatterCenterConfig,RowKey025,CreateMatter,MenuItem2LinkText,Matters
MatterCenterConfig,RowKey026,CreateMatter,MenuItem3LinkText,Documents
MatterCenterConfig,RowKey027,CreateMatter,ButtonSaveText,Save
MatterCenterConfig,RowKey028,CreateMatter,MenuImageOpenTitle,Open App Switcher
MatterCenterConfig,RowKey029,CreateMatter,MenuImageCloseTitle,Close App Switcher
MatterCenterConfig,RowKey030,CreateMatter,ButtonDeleteText,Delete
MatterCenterConfig,RowKey031,CreateMatter,Tab1LeftButtonAltText,Left
MatterCenterConfig,RowKey032,CreateMatter,Tab1RighttButtonAltText,Right
MatterCenterConfig,RowKey033,CreateMatter,Tab3SectionText,"You have entered all of the necessary information to create this matter. After you click Create and Notify, the matter will be created and all team members will receive an email containing a link to this matter's location. "
MatterCenterConfig,RowKey034,CreateMatter,LabelNotificationPopupForExternalSharingText,The following recipent is outside your organization. Would you still like to invite them to the Assigned Team?
MatterCenterConfig,RowKey035,CreateMatter,RemoveLinkText,Remove
MatterCenterConfig,RowKey036,CreateMatter,ConfirmLinkText,Confirm
MatterCenterConfig,RowKey037,CreateMatter,Tab1Dropdown1Label,Client Name
MatterCenterConfig,RowKey038,CreateMatter,Tab1Header,Open Matter
MatterCenterConfig,RowKey039,CreateMatter,Tab2Header,Assign Permission
MatterCenterConfig,RowKey040,CreateMatter,Tab3Header,Create and Notify
MatterCenterConfig,RowKey041,CreateMatter,Tab2Checkbox1Lebal,Conflict check conducted (must be complete prior to provisioning matter)
MatterCenterConfig,RowKey042,CreateMatter,Tab2Textbox1Label,Who conducted the conflict check?
MatterCenterConfig,RowKey043,CreateMatter,Tab2DateLabel,Date Conducted
MatterCenterConfig,RowKey044,CreateMatter,Tab2RadioButton1Label,Conflict Identified?
MatterCenterConfig,RowKey045,CreateMatter,Tab2RadioButton1Option1,Yes
MatterCenterConfig,RowKey046,CreateMatter,Tab2RadioButton1Option2,No
MatterCenterConfig,RowKey047,CreateMatter,Tab2Textbox2Label,Conflicted Users
MatterCenterConfig,RowKey048,CreateMatter,Tab1Textbox1Label,Client ID
MatterCenterConfig,RowKey049,CreateMatter,Tab2Textbox2PlaceHolder,Enter and select names
MatterCenterConfig,RowKey050,CreateMatter,Tab2RadioButton2Label,Would you like this matter to be secured only to the assigned team?
MatterCenterConfig,RowKey051,CreateMatter,Tab2RadioButton2Option1,Yes
MatterCenterConfig,RowKey052,CreateMatter,Tab2RadioButton2Option2,No
MatterCenterConfig,RowKey053,CreateMatter,Tab2TeamHeader,Assign Team
MatterCenterConfig,RowKey054,CreateMatter,Tab2Textbox3Label,Name
MatterCenterConfig,RowKey055,CreateMatter,Tab2Textbox3PlaceHolder,Enter and select names
MatterCenterConfig,RowKey056,CreateMatter,Tab2Deopdown1Label,Role
MatterCenterConfig,RowKey057,CreateMatter,Tab2Deopdown2Label,Permission Level
MatterCenterConfig,RowKey058,CreateMatter,Tab2AddMoreHeaderLabel,Add More Names
MatterCenterConfig,RowKey059,CreateMatter,Tab1Textbox2Label,Matter Name
